ID,TUBODNA,FID,IID
3867,N - 930,830,56705
10515,N - 954,832,56707
7281,N - 870,833,56708
7316,N - 882,834,56709
10439,N - 894,835,56710
3860,N - 906,836,56711
7354,N - 917,837,56712
7380,N - 931,838,56713
7402,N - 942,839,56714
10525,N - 955,840,56715
3834,N - 871,841,56716
10413,N - 883,842,56717
10434,N - 895,843,56718
3883,N - 907,844,56719
3813,N - 918,845,56720
3863,N - 932,846,56721
3930,N - 943,847,56722
10571,N - 956,848,56723
10045,N - 884,849,56725
7239,N - 896,850,56726
10456,N - 908,851,56727
10460,N - 919,852,56728
10485,N - 933,853,56729
9355,N - 944,854,56730
10406,N - 872,855,56731
3926,N - 965,856,56733
3595,N - 980,858,56735
10541,N - 995,860,56737
7588,N - 1003,861,56738
7563,N - 1010,862,56739
10521,N - 958,863,56740
10533,N - 966,864,56741
7470,N - 973,865,56742
7468,N - 981,866,56743
7502,N - 988,867,56744
3965,N - 996,868,56745
7610,N - 1004,869,56746
7570,N - 1011,870,56747
7401,N - 959,871,56748
10549,N - 967,872,56749
3931,N - 974,873,56750
7192,N - 982,874,56751
7525,N - 989,875,56752
7564,N - 997,876,56753
7589,N - 1005,877,56754
7604,N - 1012,878,56755
7406,N - 960,879,56756
3925,N - 957,880,56757
10527,N - 975,881,56758
7485,N - 983,882,56759
7510,N - 990,883,56760
7539,N - 998,884,56761
7404,N - 1006,885,56762
7621,N - 1013,886,56763
7481,N - 961,887,56764
10552,N - 969,888,56765
7533,N - 976,889,56766
3996,N - 984,890,56767
7532,N - 991,891,56768
7550,N - 999,892,56769
7556,N - 1007,893,56770
7613,N - 1014,894,56771
10524,N - 962,895,56772
7459,N - 970,896,56773
7442,N - 977,897,56774
7514,N - 985,898,56775
7439,N - 992,899,56776
7558,N - 1000,900,56777
7506,N - 1008,901,56778
7560,N - 1018,902,56779
10540,N - 963,903,56780
10546,N - 971,904,56781
10545,N - 978,905,56782
7472,N - 986,906,56783
7535,N - 993,907,56784
7565,N - 1001,908,56785
7584,N - 1009,909,56786
10555,N - 968,910,56787
7460,N - 964,911,56788
7475,N - 972,912,56789
3938,N - 979,913,56790
7521,N - 987,914,56791
7534,N - 994,915,56792
7566,N - 1002,916,56793
